codigo_municipio,year,round,left_share,right_share,abstention_rate,delta_left,delta_right,delta_abstention
05154,2014,2,,0.420567979571307,,,-0.19490681527042808,
05154,2018,1,0.28802588996763756,0.414334665905197,,,0.1760953391594167,
05154,2018,2,0.40323334892110363,0.5393145834725098,,,0.11874660390120284,
05154,2022,1,0.39231682444978844,0.2031901616389151,,0.10429093448215088,-0.21114450426628192,
05154,2022,2,0.50879821391851,0.4533650597808525,,0.10556486499740636,-0.08594952369165731,
05172,2002,1,0.4088118811881188,0.49613861386138614,,,,
05172,2006,1,0.11957434892187062,0.5530663679641556,,-0.28923753226624815,0.05692775410276951,
05172,2010,1,0.07296925195043598,0.5215367468694683,,-0.04660509697143464,-0.03152962109468738,
05172,2010,2,,0.7442045208348379,,,,
05172,2014,1,,0.24024173480270175,,,-0.28129501206676655,
05172,2014,2,,0.29051710336730885,,,-0.45368741746752905,
05172,2018,1,0.3411788576646038,0.35883128740996245,,,0.1185895526072607,
05172,2018,2,0.4726128982764793,0.46831688231984864,,,0.1777997789525398,
05172,2022,1,0.4426322776408117,0.17485302484354256,,0.10145341997620788,-0.1839782625664199,
05172,2022,2,0.560751363716347,0.40062467006862573,,0.08813846543986775,-0.0676922122512229,
05190,2002,1,0.22670623145400592,0.44985163204747775,,,,
05190,2006,1,0.22432045779685264,0.6040057224606581,,-0.002385773657153284,0.15415409041318034,
05190,2010,1,0.027115239769018327,0.29751443635450664,,-0.1972052180278343,-0.30649128610615145,
05190,2010,2,,0.6845417236662107,,,,
05190,2014,1,,0.2479318124843319,,,-0.04958262387017473,
05190,2014,2,,0.46570545829042226,,,-0.21883626537578843,
05190,2018,1,0.05007095073991486,0.5398337725521994,,,0.2919019600678675,
