codigo_municipio,pct_ingresos_propios,gastos_totales_per_capita,transferencias_per_capita,ingresos_tributarios_per_capita
08549,0.48566544355064606,1269502.4828571428,155792.31285714285,122410.80857142857
08558,0.473654788001838,849535.9183333333,63377.745,51664.255000000005
08560,0.5436992531385411,941215.7871428571,46960.33142857143,43318.955714285716
08573,0.9896474598676177,1513974.7657142857,10912.325714285715,815446.0471428571
08606,0.6214959541392924,698690.3614285715,34196.35428571429,49554.01857142857
08634,0.7494741292470379,682468.1714285715,43054.90571428572,80914.62714285715
08638,0.8418186252494266,722696.0057142858,20778.83714285714,101982.13857142857
08675,0.4095053191165121,951749.4428571428,63935.11571428571,41486.624285714286
08685,0.7954660157429897,713098.97,25821.33285714286,97225.6557142857
08758,0.9848488123606052,776375.8314285715,2070.7,123412.32285714286
08770,0.30890929813401097,900992.7771428571,100516.82571428572,43689.549999999996
08832,0.7817997848846975,834039.0171428572,58827.02428571428,190535.9785714286
08849,0.5388239961084874,963566.4785714286,75285.89428571428,66069.0942857143
11001,0.9872515490229123,1861813.7114285715,13724.348571428573,884182.9414285714
13001,0.9919722821957497,1385514.3957142856,4644.874285714285,534469.3542857143
13006,0.40019560477518573,1141205.9085714284,67859.05142857143,50538.36714285715
13030,0.21131292555213738,635638.4400000001,118617.94142857143,31853.77
13042,0.4232802125524967,1743719.8657142858,160150.60428571427,126302.89714285715
13052,0.8546140689077879,802417.3542857143,19441.088571428572,90715.03
13062,0.33598297610989336,1372438.7985714285,159394.38571428572,84054.02714285713
13074,0.2470036610517404,987705.0142857142,103839.66428571429,37916.50428571428
13140,0.43633169177943465,981363.9528571429,71546.93142857144,52058.434285714284
13160,0.7163013143331887,2354851.1114285714,167406.30428571432,402390.35000000003
13188,0.5437560568160562,1277972.8457142857,106882.13714285714,137934.67285714284
13212,0.4641398913345786,1825507.927142857,90421.70428571428,66500.24857142857
13222,0.4821165050746908,1149746.8514285714,156043.65571428573,150508.81714285715
13244,0.686072400233175,929889.1100000001,29184.01714285714,55523.43142857142
13248,0.3975435792090969,1342880.1114285714,116675.79428571429,60218.81714285714
